货主,入库单号,仓库,货品简称,创建人,入库原因,仓储单号,商家编码,条形码,货品编号,货品名称,分类名称,规格名称,品牌,数量,单价,箱数,绩效箱数,物流公司,物流单号,入库货位,批次,是否正品,审核时间,备注,单品备注,OMS单号,箱规,生产日期,保质期,有效期,货品重量（kg）,货品总重量（kg）,货品体积（cm³）,货品总体积（cm³）,货品箱体积（cm³）,箱规总体积（cm³）,单品标记
EA,RK2602100002,主仓库,(증정) 아임우나우 샤쉐 파우치 (1ea),권오성,采购入库,CG202602100002,8802025121201,8802025121201,8802025121201,(赠品) I'm unau 小样套装 (1ea),美妆个护,1ea,I'm unau,80,无权限,80箱,1.0,无,,A03-15-03,,正品,2026-02-10 10:47:55,"I'm unau / EA / Sunmooh  追加:로젠택배 43748063692, 43748063693 CG20260205013",Sunmooh,OCG202602100002,1/箱,0000-00-00 00:00:00,0.0,2026-08-23 00:00:00,0.0,0.0,18.0,1440,0.0,1440,无
EA,RK2602240002,主仓库,(증정) 로그인 포레스트 버번 바닐라 쇼우 풀 너리싱 바디 크림 (30ml),남궁정,采购入库,CG202602230009,8809442169472,8809442169472,8809442169472,(赠品) Login Forest 波本香草滋养身体乳 (30ml),美妆个护,30ml,Login Forest,60,无权限,60箱,1.0,无,,A02-10-02,,正品,2026-02-24 08:19:08,Login Forest / EA / Sunmooh CG20260220001,Sunmooh,OCG202602230009,1/箱,0000-00-00 00:00:00,0.0,2027-11-03 00:00:00,0.0,0.0,0.0,0,0.0,0,无
EA,RK2602040015,主仓库,숌 화이트 비건 클렌징밤 (60ml),남궁정,采购入库,CG202602040009,8809831120206,8809831120206,8809831120206,SHHOM 净柔幻彩卸妆膏(#粉色 - 母菊迷选香) (60ml),美妆个护,60ml,SHHOM,40,无权限,40箱,1.0,无,,A01-16-01,,正品,2026-02-04 16:48:54,"SHHOM / EA / Sunmooh  追加:롯데택배 410261304062, 410261304095, 410261304095, 410261304165 CG20260203001",Sunmooh,OCG202602040009,1/箱,0000-00-00 00:00:00,0.0,2028-10-12 00:00:00,0.13,5.2,312.0,12480,0.0,12480,无
BOX,RK2602270004,主仓库,플르부아 바디로션(#히노키레더) (250ml),권오성,采购入库,CG202602270003,8809681242318,8809681242318,8809681242318,Pleuvoir 身体乳(#Hinoki Leather) (250ml),美妆个护,250ml,Pleuvoir,800,无权限,40箱,1.0,无,,B1-04-01,,正品,2026-02-27 08:02:56,"Pleuvoir / BOX / CN / BB400,TW400 CG20260223004","CN BB400,TW400",OCG202602270003,20/箱,0000-00-00 00:00:00,0.0,2028-09-23 00:00:00,0.31,248.0,585.0,468000,0.0,468000,无
EA,RK2602230014,主仓库,(증정) 로그인 포레스트 버번 바닐라 쇼우 크리미 오일 블렌드 샤워 (30ml),남궁정,采购入库,CG202602230009,8809442169465,8809442169465,8809442169465,(赠品) Login Forest 波本香草柔润油感沐浴露 (30ml),美妆个护,30ml,Login Forest,30,无权限,30箱,1.0,无,,A04-07-01,,正品,2026-02-23 16:59:23,Login Forest / EA / Sunmooh CG20260220001,Sunmooh,OCG202602230009,1/箱,0000-00-00 00:00:00,0.0,2027-11-03 00:00:00,0.0,0.0,0.0,0,0.0,0,无
EA,RK2602040015,主仓库,숌 소프트 비건 클렌징밤 (60ml),남궁정,采购入库,CG202602040009,8809831120213,8809831120213,8809831120213,SHHOM 净柔幻彩卸妆膏(#绿色 - 茶树积雪草) (60ml),美妆个护,60ml,SHHOM,240,无权限,240箱,1.0,无,,A01-16-02,,正品,2026-02-04 16:48:54,"SHHOM / EA / Sunmooh  追加:롯데택배 410261304062, 410261304095, 410261304095, 410261304165 CG20260203001",Sunmooh,OCG202602040009,1/箱,0000-00-00 00:00:00,0.0,2028-10-14 00:00:00,0.13,31.2,312.0,74880,0.0,74880,无
BOX,RK2602230005,主仓库,유쏘풀 향수 디스커버리 세트 (10ml*5ea),남궁정,采购入库,CG202602230004,8809846781294,8809846781294,8809846781294,YOUSSOFUL 香水套装 (10ml*5ea),美妆个护,10ml*5ea,YOUSSOFUL,576,无权限,24箱,1.0,无,,B2-14-03,,正品,2026-02-23 14:38:02,"YOUSSOFUL / BOX / CN / BB120,TW1680 CG20260223011","CN BB120,TW1680",OCG202602230004,24/箱,0000-00-00 00:00:00,0.0,2029-01-10 00:00:00,0.4,230.4,1103.0,635328,0.0,635328,无
BOX,RK2602230006,主仓库,유쏘풀 향수 디스커버리 세트 (10ml*5ea),남궁정,采购入库,CG202602230004,8809846781294,8809846781294,8809846781294,YOUSSOFUL 香水套装 (10ml*5ea),美妆个护,10ml*5ea,YOUSSOFUL,576,无权限,24箱,1.0,无,,B2-25-01,,正品,2026-02-23 14:38:36,"YOUSSOFUL / BOX / CN / BB120,TW1680 CG20260223011","CN BB120,TW1680",OCG202602230004,24/箱,0000-00-00 00:00:00,0.0,2029-01-10 00:00:00,0.4,230.4,1103.0,635328,0.0,635328,无
EA,RK2602230002,主仓库,(증정) 유쏘풀 미니 가죽 키링 케이스 (1ea),남궁정,采购入库,CG202602230001,8809846782352,8809846782352,8809846782352,(赠品) YOUSSOFUL 香水钥匙扣皮套 (1ea),无,1ea,YOUSSOFUL,2040,无权限,2040箱,2.0,无,,A05-24-01,,正品,2026-02-23 13:44:23,YOUSSOFUL / EA / CN / 보세창 CG202602230001,,OCG202602230001,1/箱,0000-00-00 00:00:00,0.0,2099-12-31 00:00:00,0.005,10.2,64.0,130560,0.0,130560,无
EA,RK2602060004,主仓库,(증정) 누메 딥 포어 퍼밍 세럼 (2ml),박강민 ,采购入库,CG202602060004,8800242200075,8800242200075,8800242200075,(赠品) NUME 深层毛孔紧致精华 (2ml),美妆个护,2ml,NUME,200,无权限,200箱,2.0,无,,B2-18-01,,正品,2026-02-06 11:03:16,NUME / EA / Sunmooh CG20260205006,,OCG202602060004,1/箱,0000-00-00 00:00:00,0.0,2028-10-12 00:00:00,0.0,0.0,0.0,0,0.0,0,无
