"仓库","货主","商家编码","货品编号","货品名称","货品简称","规格码","规格名称","分类名称","条形码","基本单位","托规","箱规","价格","毛重（kg）","品牌","生产日期","临期天数","保质期","货区","货区名称","货区类型","货位","货位冻结","热卖货区","有效期","距离到期天数","距离临期天数","批次","是否正品","库存","可发库存","可发库存箱数","库存箱数","货品英文名称","自定义属性2","自定义属性3","自定义属性4","自定义属性5","自定义属性6","货位异常原因","体积（cm³）"
"主仓库","EA","TESTBARCODE","TESTBARCODE","TEST 旺店通入出库管理","TEST 왕디엔통입출고관리바코드",,="150ml","无","TESTBARCODE","ea","无","无","无权限","0.1820","MYCOMMERCE",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-45-03","否","普通区",="2099-12-31 00:00:00","26854","0.0000",,"正品","11","11",="11ea",="11ea","TEST wangdiantongguanli",,"판매중","본품",,,,"225.0000"
"主仓库","EA","TESTBARCODE2","TESTBARCODE2","TEST(#2) 旺店通入出库管理(#2)","TEST(2) 왕디엔통 입출고 관리 바코드(2)",,="1ea","无","TESTBARCODE2",,"无","无","无权限","0.5500","MYCOMMERCE",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-45-03","否","普通区",="2099-12-31 00:00:00","26854","0.0000",,"正品","56","56",="56个",="56个",,,,,,,,"798.0000"
"主仓库","BOX","TESTBARCODE","TESTBARCODE","TEST 旺店通入出库管理","TEST 왕디엔통입출고관리바코드",,="150ml","无","TESTBARCODE","ea","无","无","无权限","0.1820","MYCOMMERCE",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-45-03","否","普通区",="2099-12-31 00:00:00","26854","0.0000",,"正品","500","500",="500ea",="500ea","TEST wangdiantongguanli",,"판매중","본품",,,,"225.0000"
"主仓库","ETC","TESTBARCODE","TESTBARCODE","TEST 旺店通入出库管理","TEST 왕디엔통입출고관리바코드",,="150ml","无","TESTBARCODE","ea","无","无","无权限","0.1820","MYCOMMERCE",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-45-03","否","普通区",="2099-12-31 00:00:00","26854","0.0000",,"正品","1","1",="1ea",="1ea","TEST wangdiantongguanli",,"판매중","본품",,,,"225.0000"
"主仓库","EA",="8809695240188",="8809695240188","K-SECRET 眼膜(#咖啡碱) (60ea)(102g)","케이시크릿 인스턴트 릴리프 아이겔패치(#카페인) (60매)(102g)",,="102g","美妆个护",="8809695240188","ea","无",="48/箱","无权限","0.2090","K-SECRET",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-25-02","否","普通区",="2028-03-18 00:00:00","634","0.0000",,"正品","24","24",="24ea",="24ea","K-SECRET Instant Relief Eye Gel Patches(#Caffeine) (60ea)",,,,,,,"340.0000"
"主仓库","EA",="8809695240201",="8809695240201","K-SECRET 眼膜(#维他命C) (60ea)","케이시크릿 엑스트라 일루미네이팅 아이겔패치(#비타민C) (60ea)",,="102g","美妆个护",="8809695240201","ea","无",="48/箱","无权限","0.2110","K-SECRET",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-26-01","否","普通区",="2028-01-07 00:00:00","563","0.0000",,"正品","31","31",="31ea",="31ea","K-SECRET Extra Illuminating Eye Gel Patches(#Vitamin C) (60ea)",,,,,,,"340.0000"
"主仓库","EA",="8809552278279",="8809552278279","SALTRAIN 牙刷(#绿色)","솔트레인 투스브러쉬 그린화이트",,="16g","美妆个护",="8809552278279","ea","无",="250/箱","无权限","0.0230","SALTRAIN",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-19-01","否","普通区",="2099-12-31 00:00:00","26854","0.0000",,"正品","159","159",="159ea",="159ea","SALTRAIN Toothbrush Green&White",,,,,,,"90.0000"
"主仓库","EA",="8809756580666",="8809756580666","mongdies 女性私处护理液","몽디에스 밸런스 바이옴 여성청결제",,="145ml","美妆个护",="8809756580666","ea","无",="49/箱","无权限","0.2320","mongdies",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-27-03","否","普通区",="2028-03-15 00:00:00","631","0.0000",,"正品","62","62",="1箱13ea",="1箱13ea","mongdies Balance Biome Feminine Cleanser",,,,,,,"428.0000"
"主仓库","EA",="8809681245357",="8809681245357","Pleuvoir 香薰(#Floral Musk) (200ml)","플르부아 디퓨저(#플로럴머스크) (200ml)",,="200ml","无",="8809681245357","ea","无",="27/箱","无权限","0.3150","Pleuvoir",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-20-01","否","普通区",="2028-09-30 00:00:00","830","0.0000",,"正品","9","9",="9ea",="9ea","Pleuvoir Diffuser(#Floral Musk) (200ml)",,"판매중","본품",,,,"1124.0000"
"主仓库","EA",="8809678401063",="8809678401063","OHIOHOO Le Bloom 润唇膏 (5g)","오하이오후 르 블룸 립밤 (5g)",,="5g","美妆个护",="8809678401063","ea","无",="240/箱","无权限","0.0290","OHIOHOO",="0000-00-00 00:00:00","0","0","A0","피킹A01-A06","拣货区","A01-31-01","否","普通区",="2027-09-26 00:00:00","460","0.0000",,"正品","1","1",="1ea",="1ea","OHIOHOO Le Bloom Lip Balm (5g)",,"판매중","본품",,,,"43.0000"
