仓库,货主,商家编码,货品编号,货品名称,货品简称,规格码,规格名称,分类名称,条形码,基本单位,托规,箱规,价格,毛重（kg）,品牌,生产日期,临期天数,保质期,货区,货区名称,货区类型,货位,货位冻结,热卖货区,有效期,距离到期天数,距离临期天数,批次,是否正品,库存,可发库存,可发库存箱数,库存箱数,货品英文名称,自定义属性2,自定义属性3,自定义属性4,自定义属性5,自定义属性6,货位异常原因,体积（cm³）
主仓库,EA,TESTBARCODE,TESTBARCODE,TEST 旺店通入出库管理,TEST 왕디엔통입출고관리바코드,,150ml,无,TESTBARCODE,ea,无,无,无权限,0.182,MYCOMMERCE,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-45-03,否,普通区,2099-12-31 00:00:00,26845,0,,正品,11,11,11ea,11ea,TEST wangdiantongguanli,,판매중,본품,,,,225
主仓库,EA,TESTBARCODE2,TESTBARCODE2,TEST(#2) 旺店通入出库管理(#2),TEST(2) 왕디엔통 입출고 관리 바코드(2),,1ea,无,TESTBARCODE2,,无,无,无权限,0.55,MYCOMMERCE,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-45-03,否,普通区,2099-12-31 00:00:00,26845,0,,正品,56,56,56个,56个,,,,,,,,798
主仓库,BOX,TESTBARCODE,TESTBARCODE,TEST 旺店通入出库管理,TEST 왕디엔통입출고관리바코드,,150ml,无,TESTBARCODE,ea,无,无,无权限,0.182,MYCOMMERCE,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-45-03,否,普通区,2099-12-31 00:00:00,26845,0,,正品,500,500,500ea,500ea,TEST wangdiantongguanli,,판매중,본품,,,,225
主仓库,ETC,TESTBARCODE,TESTBARCODE,TEST 旺店通入出库管理,TEST 왕디엔통입출고관리바코드,,150ml,无,TESTBARCODE,ea,无,无,无权限,0.182,MYCOMMERCE,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-45-03,否,普通区,2099-12-31 00:00:00,26845,0,,正品,1,1,1ea,1ea,TEST wangdiantongguanli,,판매중,본품,,,,225
主仓库,EA,8809695240188,8809695240188,K-SECRET 眼膜(#咖啡碱) (60ea)(102g),케이시크릿 인스턴트 릴리프 아이겔패치(#카페인) (60매)(102g),,102g,美妆个护,8809695240188,ea,无,48/箱,无权限,0.209,K-SECRET,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-25-02,否,普通区,2028-03-18 00:00:00,625,0,,正品,22,22,22ea,22ea,K-SECRET Instant Relief Eye Gel Patches(#Caffeine) (60ea),,,,,,,340
主仓库,EA,8809695240201,8809695240201,K-SECRET 眼膜(#维他命C) (60ea),케이시크릿 엑스트라 일루미네이팅 아이겔패치(#비타민C) (60ea),,102g,美妆个护,8809695240201,ea,无,48/箱,无权限,0.211,K-SECRET,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-26-01,否,普通区,2028-01-07 00:00:00,554,0,,正品,25,25,25ea,25ea,K-SECRET Extra Illuminating Eye Gel Patches(#Vitamin C) (60ea),,,,,,,340
主仓库,EA,8809552278279,8809552278279,SALTRAIN 牙刷(#绿色),솔트레인 투스브러쉬 그린화이트,,16g,美妆个护,8809552278279,ea,无,250/箱,无权限,0.023,SALTRAIN,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-19-01,否,普通区,2099-12-31 00:00:00,26845,0,,正品,156,156,156ea,156ea,SALTRAIN Toothbrush Green&White,,,,,,,90
主仓库,EA,8809756580666,8809756580666,mongdies 女性私处护理液,몽디에스 밸런스 바이옴 여성청결제,,145ml,美妆个护,8809756580666,ea,无,49/箱,无权限,0.232,mongdies,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-27-03,否,普通区,2028-03-15 00:00:00,622,0,,正品,61,61,1箱12ea,1箱12ea,mongdies Balance Biome Feminine Cleanser,,,,,,,428
主仓库,EA,8809831120213,8809831120213,SHHOM 净柔幻彩卸妆膏(#绿色 - 茶树积雪草) (60ml),숌 소프트 비건 클렌징밤 (60ml),,60ml,美妆个护,8809831120213,ea,无,1/箱,无权限,0.13,SHHOM,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-16-02,否,普通区,2028-10-14 00:00:00,835,0,,正品,80,80,80箱,80箱,SHHOM Soft Vegun Cleansing balm (60ml),,판매중,본품,,,,312
主仓库,EA,8809681245357,8809681245357,Pleuvoir 香薰(#Floral Musk) (200ml),플르부아 디퓨저(#플로럴머스크) (200ml),,200ml,无,8809681245357,ea,无,27/箱,无权限,0.315,Pleuvoir,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-20-01,否,普通区,2028-09-30 00:00:00,821,0,,正品,2,2,2ea,2ea,Pleuvoir Diffuser(#Floral Musk) (200ml),,판매중,본품,,,,1124
