접수일,네트워크,송장번호,포장 및 출고일,바코드,제품,전산 대비 실수량 차이,비고
2025-05-06,,78900520650237 ,2025-04-25,8.80953E+12,아이뽀 엑스퍼트 퍼밍 앰플 (30ml),-1,오발송건
2025-05-16,,78900520650237 ,2025-04-25,8.80971E+12,쏘두위 오일풀링 유황 스칼프 샴푸 (400ml),1,오발송건
2025-05-08,,78901522516457 ,2025-04-29,8.80985E+12,유쏘풀 향수 (#세인트 모리츠) (50ml),1,누락 발송건
2025-05-19,,78905111273805 ,2025-05-12,8.80919E+12,스킨아이 내추럴 발효 동백크림 (100ml),1,수량 누락 발송건
2025-05-26,,78907364197113 ,2025-05-19,8.80967E+12,리더스 아쿠아링거 스킨클리닉 마스크 (25ml*10EA),1,수량 누락 발송건
2025-05-29,,78908855376194 ,2025-05-23,8.80958E+12,코스노리 아보카도 아이크림 올 페이스,1,오발송건
2025-05-29,,78908855376194 ,2025-05-23,8.80967E+12,리더스 네이처 이펙트 시카 마스크팩 (21ml*10ea),-1,오발송건
2025-05-29,,78908545706416 ,2025-05-23,8.80969E+12,바이브랩 리바이 솔루션 안티 헤어 로스 스칼프 샴푸 (300ml),1,수량 누락 발송건
2025-06-27,,78916879736934 ,2025-06-19,8.8098E+12,얼핏 유브이 프로텍터 모이스처 선 (50g,-1,오발송건
2025-06-27,,78916879736934 ,2025-06-19,8.80943E+12,맥퀸뉴욕 마이크로 핏 피니쉬 파우더(#Finish) (9g),1,오발송건
2025-07-11,,78921694991385 ,2025-07-08,8.80946E+12,아임오 유기농 순면커버 생리대 팬티라이너 일반 (20ea),1,누락발송
2025-07-11,,78921043926715 ,2025-07-04,8.80954E+12,모토몬트 애프터눈 페이셜 미스트 (100ml),1,알리원 제주 캐롯 제모 크림 (200ml)으로 잘못 출고 됨
2025-07-11,,78921043926715 ,2025-07-04,8.80993E+12,알리원 제주 캐롯 제모 크림 (200ml),-1,알리원 제주 캐롯 제모 크림 (200ml)으로 잘못 출고 됨
2025-07-21,,78923805349179 ,2025-07-16,8.80968E+12,(증정) 플르부아 바디스펀지,1,포장 대기중 선풍기 바람에 의해 제품 떨어져 누락되어 출고
2025-07-23,,78924329964910 ,2025-07-17,8.80985E+12,유쏘풀 향수(#13 코코 하와이) (50ml),1,"피킹 및 검수 오류, 전산 재고 보다 실물 1EA 많음"
2025-07-24,,78924596726591 ,2025-06-18,8.80949E+12,모에브 아누카틴 샴푸 (300ml) (#Ver.2),,"제품 포장 박스가 없이 배송 받았다고함, 포장 영상 확인 결과 정상적으로 포장 되어 출고 됨"
2025-08-01,,78921967890742 ,2025-07-08,8.80957E+12,스킨빌더스 하이드로 시카 큐브 세럼 (50g),0,검수 과정에서 다른 주문건 피킹 바구니에 들어감(잘못들어간 송장번호 : 78921967182057
2025-08-11,,78927632770555 ,2025-07-30,8.80954E+12,모토몬트 애프터눈 페이셜 미스트 (100ml),1,누락 발송
2025-08-11,,78927632770555 ,2025-07-30,8.80203E+12,유쏘풀 향수(#06 스타레 므네스토) (2ml),-1,오발송
2025-08-18,,78930889691637 ,2025-08-12,8.80979E+12,슈엘로 리프팅 스크럽 워시 (250ml),3,"누락 발송, 재고 실사 결과 전산 보다 3EA 많은것을 확인"
2025-09-22,,78938678750748 ,2025-09-11,8.80907E+12,닥터바이오 에코 모이스처 크림 (300g),1,2EA 발송해야 하는데 1EA 만 발송
2025-12-12,Sunmooh,78964447352872 ,2025-12-09,8809932661462F,(증정) 터치인솔 프리티필터 오버나이트 립 플럼핑 마스크 (14g),1,누락 발송
2025-12-30,Sunmooh,78968154291859 ,2025-12-31,7.89682E+13,딥트 3일 호박하나 (10g*10ea) (#Ver.2),1,"2EA 발송 되어야 하나, 1EA 만 발송"
2026-01-09,Xiaohongshu,78970371516484 ,2025-12-30,8.80986E+12,웰더마 프리미엄 레티놀 콜라겐 리프팅 리스토어 피팅 마스크(#갈색) (25g*4ea),0,"고객이 웰더마 프리미엄 시카 트리트먼트 리페어 피팅 마스크(#초록색) (25g*4ea) 1EA 받았다고 주장,
확인 결과 초록색이 아닌 갈색으로 정상적으로 들어 갔음"
2026-02-09,Sunmooh,78979436481083 ,2026-02-02,8.80933E+12,코코스타 집중보습 핸드 모이스쳐 팩(#퍼플) (16ml*1ea),0,"해당 제품 3개 주문, 2개만 받았다고 CS 요청, 확인결과 이상 없이 포장됨,2026.02.09 MC방 위쳇"
2026-03-30,Sunmooh,78990365666078 ,2026-03-24,8.80968E+12,(증정) 플르부아 향수(#모닝소일) (2ml),1,"누락 발송, 피킹 및 검수 오류(검수자 권오성, 피킹 박강민)"
2026-03-27,EA_Export,FC20260313-02,2026-03-13,8.80202E+12,(증정) 유쏘풀 디퓨저 스틱 (11g),0,"144EA 출고 되어야 하나, 계산 실수로 1319개 발송( 입고 당시 한묶음을 1개로 계산함), 남궁정"
2026-04-03,Sunmooh,78991912188143 ,2026-03-30,8.80952E+12,아이뽀 데일리 스킨딥 에멀전 바이 싹 (135ml),0,해당 제품 누락
2026-04-03,Sunmooh,78991910316215 ,2026-03-30,8.80952E+12,아이뽀 데일리 스킨딥 에멀전 바이 싹 (135ml),0,해당 제품 과출고
2026-05-14,Sunmooh,79001638021980 ,2026-05-08,8.8094E+12,블랑네이처 아크네 클렌징폼 (150ml),1,2EA 발송 되어야 하나 1EA만 발송
